abandon v.   AAA/ə'bændən /   BBB bỏ, từ bỏ
ahead adv.   AAA/ə'hed /   BBB trước, về phía trước
aid n., v.   AAA/eid /   BBB sự giúp đỡ; thêm vào, phụ vào
aim n., v.   AAA/eim /   BBB sự nhắm , mục tiêu, ý định; nhắm, tập trung, hướng vào
air n.   AAA/eə /   BBB không khí, bầu không khí, không gian
aircraft n.   AAA/'eəkrɑ:ft /   BBB máy bay, khí cầu
alarm n., v.   AAA/ə'lɑ:m /   BBB báo động, báo nguy
alarming adj.   AAA/ə'lɑ:miɳ /   BBB làm lo sợ, làm hốt hoảng, làm sợ hãi
alcohol n.   AAA/'ælkəhɔl /   BBB rượu cồn
alcoholic adj., n.   AAA/,ælkə'hɔlik /   BBB rượu; người nghiện rượu
alive adj.   AAA/ə'laiv /   BBB sống, vẫn còn sống, còn tồn tại
all det., pron., adv.   AAA/ɔ:l /   BBB tất cả
allow v.   AAA/ə'lau /   BBB cho phép, để cho
all right adj., adv., exclamation   AAA/'ɔ:l'rait /   BBB tốt, ổn, khỏe mạnh; được
ally n., v.   AAA/'æli /   BBB nước đồng minh, liên minh; liên kết, lien minh, kết thông gia
allied adj.   AAA/ə'laid /   BBB lien minh, đồng minh, thông gia
almost adv.   AAA/'ɔ:lmoust /   BBB hầu như, gần như
alone adj., adv.   AAA/ə'loun /   BBB cô đơn, một mình
along prep., adv.   AAA/ə'lɔɳ /   BBB dọc theo, theo; theo chiều dài, suốt theo
alongside prep., adv.   AAA/ə'lɔɳ'said /   BBB sát cạnh, kế bên, dọc theo
aloud adv.   AAA/ə'laud /   BBB lớn tiếng, to tiếng
alphabet n.   AAA/'ælfəbit /   BBB bảng chữ cái, bước đầu, điều cơ bản
alphabetical adj.   AAA/,æflə'betikl /   BBB thuộc bảng chứ cái
alphabetically adv.   AAA/,ælfə'betikəli /   BBB theo thứ tự abc
already adv.   AAA/ɔ:l'redi /   BBB đã, rồi, đã… rồi
also adv.   AAA/'ɔ:lsou /   BBB cũng, cũng vậy, cũng thế
alter v.   AAA/'ɔ:ltə /   BBB thay đổi, biến đổi, sửa đổi
alternative n., adj.   AAA/ɔ:l'tə:nətiv /   BBB sự lựa chọn; lựa chọn
although conj.   AAA/ɔ:l'ðou /   BBB mặc dù, dẫu cho
altogether adv.   AAA/,ɔ:ltə'geðə /   BBB hoàn toàn, hầu như; nói chung
always adv.   AAA/'ɔ:lwəz /   BBB luôn luôn
amaze v.   AAA/ə'meiz /   BBB làm ngạc nhiên, làm sửng sốt
amazing adj.   AAA/ə'meiziɳ /   BBB kinh ngạc, sửng sốt
amazed adj.   AAA/ə'meiz /   BBB kinh ngạc, sửng sốt
ambition n. æm'biʃn   AAA/   BBB hoài bão, khát vọng
ambulance n.   AAA/'æmbjuləns /   BBB xe cứu thương, xe cấp cứu
among prep.   AAA/ə'mʌɳ /   BBB giữa, ở giữa
amount n., v.   AAA/ə'maunt /   BBB số lượng, số nhiều; lên tới 
amuse v.   AAA/ə'mju:z /   BBB làm cho vui, thích, làm buồn cười
amusing adj.   AAA/ə'mju:ziɳ /   BBB vui thích
amused adj.   AAA/ə'mju:zd /   BBB vui thích
analyse  v.   AAA/'ænəlaiz /   BBB phân tích
analysis n.   AAA/ə'næləsis /   BBB sự phân tích
ancient adj.   AAA/'einʃənt /   BBB xưa, cổ
and conj.   AAA/ænd, ənd, ən /   BBB và
anger n.   AAA/'æɳgə  /   BBB BBB sự tức giận, sự giận dữ
angle n.   AAA/'æɳgl /   BBB góc
angry adj.   AAA/'æɳgri /   BBB giận, tức giận
angrily adv.   AAA/'æɳgrili /   BBB tức giận, giận dữ
animal n.   AAA/'æniməl /   BBB động vật, thú vật
ankle n.   AAA/'æɳkl /   BBB mắt cá chân
anniversary n.   AAA/,æni'və:səri /   BBB ngày, lễ kỉ niệm
announce v.   AAA/ə'nauns /   BBB báo, thông báo
annoy v.   AAA/ə'nɔi /   BBB chọc tức, làm bực mình; làm phiền, quẫy nhiễu
annoying adj.   AAA/ə'nɔiiɳ /   BBB chọc tức, làm bực mình; làm phiền, quẫy nhiễu
annoyed adj.   AAA/ə'nɔid /   BBB bị khó chịu, bực mình, bị quấy rầy
annual adj.   AAA/'ænjuəl /   BBB hàng năm, từng năm
annually adv.   AAA/'ænjuəli /   BBB hàng năm, từng năm
another det., pron.   AAA/ə'nʌðə /   BBB khác
answer n., v.   AAA/'ɑ:nsə /   BBB sự trả lời; trả lời
anticipate v.   AAA/æn'tisipeit /   BBB thấy trước, chặn trước, lường trước
anxiety n.   AAA/æɳ'zaiəti /   BBB mối lo âu, sự lo lắng
anxious adj.   AAA/'æɳkʃəs /   BBB lo âu, lo lắng, băn khoăn
anxiously adv.   AAA/'æɳkʃəsli /   BBB lo âu, lo lắng, băn khoăn
anyone pron.   AAA/'eniwʌn /   BBB người nào, bất cứ ai
anything pron.   AAA/'eniθiɳ /   BBB việc gì, vật gì; bất cứ việc gì, vật gì
anyway adv.   AAA/'eniwei /   BBB thế nào cũng được, dù sao chăng nữa
anywhere adv.   AAA/'eniweə /   BBB bất cứ chỗ nào, bất cứ nơi đâu
apart adv.   AAA/ə'pɑ:t /   BBB về một bên, qua một bên
apartment n.   AAA/ə'pɑ:tmənt /   BBB căn phòng, căn buồng
apologize v.   AAA/ə'pɔlədʤaiz /   BBB xin lỗi, tạ lỗi
apparent adj.   AAA/ə'pærənt /   BBB rõ ràng, rành mạch; bề ngoài, có vẻ
appeal n., v.   AAA/ə'pi:l /   BBB sự kêu gọi, lời kêu gọi; kêu gọi, cầu khẩn
appear v.   AAA/ə'piə /   BBB xuất hiện, hiện ra, trình diện
appearance n.   AAA/ə'piərəns /   BBB sự xuất hiện, sự trình diện
apple n.   AAA/'æpl /   BBB quả táo
application n.   AAA/,æpli'keiʃn /   BBB sự gắn vào, vật gắn vào; sự chuyên cần, chuyên tâm
apply v.   AAA/ə'plai /   BBB gắn vào, ghép vào, áp dụng vào
appoint v.   AAA/ə'pɔint /   BBB bổ nhiệm, chỉ định, chọn
appointment n.   AAA/ə'pɔintmənt /   BBB sự bổ nhiệm, người được bổ nhiệm
appreciate v.   AAA/ə'pri:ʃieit /   BBB thấy rõ; nhận thức
approach v., n.   AAA/ə'proutʃ /   BBB đến gần, lại gần; sự đến gần, sự lại gần
appropriate adj.   AAA/ə'proupriit /   BBB thích hợp, thích đáng
approval n.   AAA/ə'pru:vəl /   BBB sự tán thành, đồng ý, sự chấp thuận
approve v.   AAA/ə'pru:v /   BBB tán thành, đồng ý, chấp thuận
approving adj.   AAA/ə'pru:viɳ /   BBB tán thành, đồng ý, chấp thuận
approximate adj.   AAA/ə'prɔksimit /   BBB giống với, giống hệt với
approximately adv.   AAA/ə'prɔksimitli /   BBB khoảng chừng, độ chừng
april n.   AAA/'eiprəl /   BBB tháng tư
area n.   AAA/'eəriə /   BBB diện tích, bề mặt
argue v.   AAA/'ɑ:gju: /   BBB chứng tỏ, chỉ rõ
argument n.   AAA/'ɑ:gjumənt /   BBB lý lẽ
arise v.   AAA/ə'raiz /   BBB xuất hiện, nảy ra, nảy sinh ra
arm n., v.   AAA/ɑ:m /   BBB cánh tay; vũ trang, trang bị 
armed adj.   AAA/ɑ:md /   BBB vũ trang
army n.   AAA/'ɑ:mi /   BBB quân đội
around adv., prep.   AAA/ə'raund /   BBB xung quanh, vòng quanh
arrange v.   AAA/ə'reindʤ /   BBB sắp xếp, sắp đặt, sửa soạn
arrangement n.   AAA/ə'reindʤmənt /   BBB sự sắp xếp, sắp đặt, sự sửa soạn
arrest v., n.   AAA/ə'rest /   BBB bắt giữ, sự bắt giữ
arrival n.   AAA/ə'raivəl /   BBB sự đến, sự tới nơi
arrive v.   AAA/ə'raiv /   BBB đến, tới nơi
arrow n.   AAA/'ærou /   BBB tên, mũi tên
art n.   AAA/ɑ:t /   BBB nghệ thuật, mỹ thuật
article n.   AAA/'ɑ:tikl /   BBB bài báo, đề mục
artificial adj.   AAA/,ɑ:ti'fiʃəl /   BBB nhân tạo
artificially adv.   AAA/,ɑ:ti'fiʃəli /   BBB nhân tạo
artist n.   AAA/'ɑ:tist /   BBB nghệ sĩ
artistic adj.   AAA/ɑ:'tistik /   BBB thuộc nghệ thuật, thuộc mỹ thuật
as prep., adv., conj.   AAA/æz, əz /   BBB như 
ashamed adj.   AAA/ə'ʃeimd /   BBB ngượng, xấu hổ
aside adv.   AAA/ə'said /   BBB về một bên, sang một bên
ask v.   AAA/ɑ:sk /   BBB hỏi
asleep adj.   AAA/ə'sli:p /   BBB ngủ, đang ngủ
aspect n.   AAA/'æspekt /   BBB vẻ bề ngoài, diện mạo
assist v.   AAA/ə'sist /   BBB giúp, giúp đỡ; tham dự, có mặt
assistance n.   AAA/ə'sistəns /   BBB sự giúp đỡ
assistant n., adj.   AAA/ə'sistənt /   BBB người giúp đỡ, người phụ tá; giúp đỡ, phụ tá
associate v.   AAA/ə'souʃiit /   BBB kết giao, liên kết, kết hợp, cho cộng tác
association n.   AAA/ə,sousi'eiʃn /   BBB sự kết hợp, sự liên kết
assume v.   AAA/ə'sju:m /   BBB mang, khoác, có, lấy 
assure v.   AAA/ə'ʃuə /   BBB đảm bảo, cam đoan
atmosphere n.   AAA/'ætməsfiə /   BBB khí quyển
atom n.   AAA/'ætəm /   BBB nguyên tử
attach v.   AAA/ə'tætʃ /   BBB gắn, dán, trói, buộc
attack n., v.   AAA/ə'tæk /   BBB sự tấn công, sự công kích; tấn công, công kích
attempt n., v.   AAA/ə'tempt /   BBB sự cố gắng, sự thử; cố gắng, thử
attempted adj.   AAA/ə'temptid /   BBB cố gắng, thử
attend v.   AAA/ə'tend /   BBB dự, có mặt
attention n.   AAA/ə'tenʃn /   BBB sự chú ý
attitude n.   AAA/'ætitju:d /   BBB thái độ, quan điểm
attorney n.   AAA/ə'tə:ni /   BBB người được ủy quyền
attract v.   AAA/ə'trækt /   BBB hút; thu hút, hấp dẫn
attraction n.   AAA/ə'trækʃn /   BBB sự hút, sức hút
attractive adj.   AAA/ə'træktiv /   BBB hút, thu hút, có duyên, lôi cuốn
audience n.   AAA/'ɔ:djəns /   BBB thính, khan giả
august n.   AAA/'ɔ:gəst - ɔ:'gʌst /   BBB tháng tám
aunt n.   AAA/ɑ:nt /   BBB cô, dì
author n.   AAA/'ɔ:θə /   BBB tác giả
authority n.   AAA/ɔ:'θɔriti /   BBB uy quyền, quyền lực
automatic adj.   AAA/,ɔ:tə'mætik /   BBB tự động
autumn n.   AAA/'ɔ:təm /   BBB mùa thu 
available adj.   AAA/ə'veiləbl /   BBB có thể dùng được, có giá trị, hiệu lực
average adj., n.   AAA/'ævəridʤ /   BBB trung bình, số trung bình, mức trung bình
avoid v.   AAA/ə'vɔid /   BBB tránh, tránh xa
awake adj.   AAA/ə'weik /   BBB đánh thức, làm thức dậy
award n., v.   AAA/ə'wɔ:d /   BBB phần thưởng; tặng, thưởng
aware adj.   AAA/ə'weə /   BBB biết, nhận thức, nhận thức thấy
away adv.   AAA/ə'wei /   BBB xa, xa cách, rời xa, đi xa
awful adj.   AAA/'ɔ:ful /   BBB oai nghiêm, dễ sợ
awkward adj.   AAA/'ɔ:kwəd /   BBB vụng về, lung túng
back n., adj., adv., v.   AAA/bæk /   BBB lưng, về phía sau, trở lại
background n.   AAA/'bækgraund /   BBB phía sau; nền
backward adj.   AAA/'bækwəd /   BBB về phía sau, lùi lại
bacteria n.   AAA/bæk'tiəriəm /   BBB vi khuẩn
bad adj.   AAA/bæd /   BBB xấu, tồi
badly adv.   AAA/'bædli /   BBB xấu, tồi
bad-tempered adj.   AAA/'bæd'tempəd /   BBB xấu tính, dễ nổi cáu
bag n.   AAA/bæg /   BBB bao, túi, cặp xách
baggage n.   AAA/'bædidʤ /   BBB hành lý
bake v.   AAA/beik /   BBB nung, nướng bằng lò
balance n., v.   AAA/'bæləns /   BBB cái cân; làm cho cân bằng, tương xứng
ball n.   AAA/bɔ:l /   BBB quả bóng
ban v., n.   AAA/bæn /   BBB cấm, cấm chỉ; sự cấm
band n.   AAA/bænd /   BBB băng, đai, nẹp
bandage n., v.   AAA/'bændidʤ /   BBB dải băng; băng bó
bank n.   AAA/bæɳk /   BBB bờ , đê
bar n.   AAA/bɑ: /   BBB quán bán rượu
bargain n.   AAA/'bɑ:gin /   BBB sự mặc cả, sự giao kèo mua bán
barrier n.   AAA/bæriə /   BBB đặt chướng ngại vật
base n., v.   AAA/beis /   BBB cơ sở, cơ bản, nền móng; đặt tên, đặt cơ sở trên cái gì
basic adj.   AAA/'beisik /   BBB cơ bản, cơ sở
basically adv.   AAA/'beisikəli /   BBB cơ bản, về cơ bản
basis n.   AAA/'beisis /   BBB nền tảng, cơ sở
bath n.   AAA/bɑ:θ /   BBB sự tắm
battery n.   AAA/'bætəri /   BBB pin, ắc quy
battle n.   AAA/'bætl /   BBB trận đánh, chiến thuật
bay n.   AAA/bei /   BBB gian , nhịp , chuồng (ngựa); bays: vòng nguyệt quế
beach n.   AAA/bi:tʃ /   BBB bãi biển
beak n.   AAA/bi:k /   BBB mỏ chim
bear v.   AAA/beə /   BBB mang, cầm, vác, đeo, ôm
beard n.   AAA/biəd /   BBB râu
beat n., v.   AAA/bi:t /   BBB tiếng đập, sự đập; đánh đập, đấm
beautiful adj.   AAA/'bju:təful /   BBB đẹp
beautifully adv.   AAA/'bju:təfuli /   BBB tốt đẹp, đáng hài lòng
beauty n.   AAA/'bju:ti /   BBB vẻ đẹp, cái đẹp; người đẹp
because conj.   AAA/bi'kɔz /   BBB bởi vì, vì
become v.   AAA/bi'kʌm /   BBB trở thành, trở nên
bed n.   AAA/bed /   BBB cái giường
bedroom n.   AAA/'bedrum /   BBB phòng ngủ
beef n.   AAA/bi:f /   BBB thịt bò
beer n.   AAA/bi:ə /   BBB rượu bia
before prep., conj., adv.   AAA/bi'fɔ: /   BBB trước, đằng trước
begin v.   AAA/bi'gin /   BBB bắt đầu, khởi đầu
beginning n.   AAA/bi'giniɳ /   BBB phần đầu, lúc bắt đầu, lúc khởi đầu
behalf n.   AAA/bi:hɑ:f /   BBB sự thay mặt
behave v.   AAA/bi'heiv /   BBB đối xử, ăn ở, cư xử
behind prep., adv.   AAA/bi'haind /   BBB sau, ở đằng sau
belief n.   AAA/bi'li:f /   BBB lòng tin, đức tin, sự tin tưởng
believe v.   AAA/bi'li:v /   BBB tin, tin tưởng
bell n.   AAA/bel /   BBB cái chuông, tiếng chuông
belong v.   AAA/bi'lɔɳ /   BBB thuộc về, của, thuộc quyền sở hữu
below prep., adv.   AAA/bi'lou /   BBB ở dưới, dưới thấp, phía dưới
belt n.   AAA/belt /   BBB dây lưng, thắt lưng
bend v., n.   AAA/bentʃ /   BBB chỗ rẽ, chỗ uốn; khuỷu tay; cúi xuống, uốn cong
bent adj.   AAA/bent /   BBB khiếu, sở thích, khuynh hướng
beneath prep., adv.   AAA/bi'ni:θ /   BBB ở dưới, dưới thấp
benefit n., v.   AAA/'benifit /   BBB lợi, lợi ích; giúp ích, làm lợi cho
beside prep.   AAA/bi'said /   BBB bên cạnh, so với
bet v., n.   AAA/bet /   BBB đánh cuộc, cá cược; sự đánh cuộc
betting n.   AAA/beting /   BBB sự đánh cuộc
between prep., adv.   AAA/bi'twi:n /   BBB giữa, ở giữa
beyond prep., adv.   AAA/bi'jɔnd /   BBB ở xa, phía bên kia
bicycle n.   AAA/'baisikl /   BBB xe đạp
bid v., n.   AAA/bid /   BBB đặt giá, trả giá; sự đặt giá, sự trả giá
big adj.   AAA/big /   BBB to, lớn
bill n.   AAA/bil /   BBB hóa đơn, giấy bạc
bin n.   AAA/bin /   BBB thùng, thùng đựng rượu
biology n.   AAA/bai'ɔlədʤi /   BBB sinh vật học
bird n.   AAA/bə:d /   BBB chim
birth n.   AAA/bə:θ /   BBB sự ra đời, sự sinh đẻ
birthday n.   AAA/'bə:θdei /   BBB ngày sinh, sinh nhật
biscuit n.   AAA/'biskit /   BBB bánh quy
bit n.   AAA/bit /   BBB miếng, mảnh
bite v., n.   AAA/bait /   BBB cắn, ngoạm; sự cắn, sự ngoạm
bitter adj.   AAA/'bitə /   BBB đắng; đắng cay, chua xót
bitterly adv.   AAA/'bitəli /   BBB đắng, đắng cay, chua xót
black adj., n.   AAA/blæk /   BBB đen; màu đen
blade n.   AAA/bleid /   BBB lưỡi ; lá ; mái (chèo); cánh (chong chóng)
blame v., n.   AAA/bleim /   BBB khiển trách, mắng trách; sự khiển trách, sự mắng trách
blank adj., n.   AAA/blæɳk /   BBB trống, để trắng; sự trống rỗng
blankly adv.   AAA/'blæɳkli /   BBB ngây ra, không có thần
blind adj.   AAA/blaind /   BBB đui, mù
block n., v.   AAA/blɔk /   BBB khối, tảng ; làm ngăn cản, ngăn chặn
blonde adj., n., blond adj.   AAA/blɔnd /   BBB hoe vàng, mái tóc hoe vàng
blood n.   AAA/blʌd /   BBB máu, huyết; sự tàn sát, chem giết
blow v., n.   AAA/blou /   BBB nở hoa; sự nở hoa
blue adj., n.   AAA/blu: /   BBB xanh, màu xanh
board n., v.   AAA/bɔ:d /   BBB tấm ván; lát ván, lót ván
boat n.   AAA/bout /   BBB tàu, thuyền
body n.   AAA/'bɔdi /   BBB thân thể, thân xác
boil v.   AAA/bɔil /   BBB sôi, luộc
bomb n., v.   AAA/bɔm /   BBB quả bom; oánh bom, thả bom
bone n.   AAA/boun /   BBB xương
book n., v.   AAA/buk /   BBB sách; ghi chép
boot n.   AAA/bu:t /   BBB giày ống
border n.   AAA/'bɔ:də /   BBB bờ, mép, vỉa, lề 
bore v.   AAA/bɔ: /   BBB buồn chán, buồn tẻ
boring adj.   AAA/'bɔ:riɳ /   BBB buồn chán
born v.   AAA/bɔ:n /   BBB sinh, đẻ
borrow v.   AAA/'bɔrou /   BBB vay, mượn
boss n.   AAA/bɔs /   BBB ông chủ, thủ trưởng
both det., pron.   AAA/bouθ /   BBB cả hai
bother v.   AAA/'bɔðə /   BBB làm phiền, quấy rầy, làm bực mình
bottle n.   AAA/'bɔtl /   BBB chai, lọ
bottom n., adj.   AAA/'bɔtəm /   BBB phần dưới cùng, thấp nhất; cuối, cuối cùng
bound adj.   AAA/baund /   BBB nhất định, chắc chắn
bowl n.   AAA/boul /   BBB cái bát
box n.   AAA/bɔks /   BBB hộp, thùng
boy n.   AAA/bɔi /   BBB con trai, thiếu niên
brain n.   AAA/brein /   BBB óc não; đầu óc, trí não
branch n.   AAA/brɑ:ntʃ /   BBB ngành; nhành cây, nhánh song, ngả đường
brand n.   AAA/brænd /   BBB nhãn 
brave adj.   AAA/breiv /   BBB gan dạ, can đảm
bread n.   AAA/bred /   BBB bánh mỳ
break v., n.   AAA/breik /   BBB bẻ gãy, đập vỡ; sự gãy, sự vỡ
broken adj.   AAA/'broukən /   BBB bị gãy, bị vỡ
breakfast n.   AAA/'brekfəst /   BBB bữa điểm tâm, bữa sáng
breast n.   AAA/brest /   BBB ngực, vú
breath n.   AAA/breθ /   BBB hơi thở, hơi
breathe v.   AAA/bri:ð /   BBB hít, thở
breathing n.   AAA/'bri:ðiɳ /   BBB sự hô hấp, sự thở
breed v., n.   AAA/bri:d /   BBB nuôi dưỡng, chăm sóc, giáo dục; sinh đẻ; nòi giống
brick n.   AAA/brik /   BBB gạch
bridge n.   AAA/bridʤ /   BBB cái cầu
brief adj.   AAA/bri:f /   BBB ngắn, gọn, vắn tắt
briefly adv.   AAA/'bri:fli /   BBB ngắn, gọn, vắn tắt, tóm tắt
bright adj.   AAA/brait /   BBB sáng, sáng chói
brightly adv.   AAA/'braitli /   BBB sáng chói, tươi
brilliant adj.   AAA/'briljənt /   BBB tỏa sáng, rực rỡ, chói lọi
bring v.   AAA/briɳ /   BBB mang, cầm , xách lại
broad adj.   AAA/broutʃ /   BBB rộng
broadly adv.   AAA/'brɔ:dli /   BBB rộng, rộng rãi
broadcast v., n.   AAA/'brɔ:dkɑ:st /   BBB tung ra khắp nơi,truyền rộng rãi; phát thanh, quảng bá
brother n.   AAA/'brΔðз /   BBB anh, em trai
brown adj., n.   AAA/braun /   BBB nâu, màu nâu
brush n., v.   AAA/brΔ∫ /   BBB bàn chải; chải, quét
bubble n.   AAA/'bΔbl /   BBB bong bóng, bọt, tăm
budget n.   AAA/ˈbʌdʒɪt /   BBB ngân sách
build v.   AAA/bild /   BBB xây dựng
building n.   AAA/'bildiŋ /   BBB sự xây dựng, công trình xây dựng; tòa nhà binđinh
bullet n.   AAA/'bulit /   BBB đạn 
bunch n.   AAA/bΛnt∫ /   BBB búi, chùm, bó, cụm, buồng; bầy, đàn 
burn v.   AAA/bə:n /   BBB đốt, đốt cháy, thắp, nung, thiêu
burnt adj.   AAA/bə:nt /   BBB bị đốt, bị cháy, khê; rám nắng, sạm 
burst v.   AAA/bə:st /   BBB nổ, nổ tung ; nổ, vỡ ; háo hức
bury v.   AAA/'beri /   BBB chôn cất, mai táng
bus n.   AAA/bʌs /   BBB xe buýt
bush n.   AAA/bu∫ /   BBB bụi cây, bụi rậm
business n.   AAA/'bizinis /   BBB việc buôn bán, thương mại, kinh doanh
busy adj.   AAA/´bizi /   BBB bận, bận rộn
but conj.   AAA/bʌt /   BBB nhưng
butter n.   AAA/'bʌtə /   BBB bơ
button n.   AAA/'bʌtn /   BBB cái nút, cái khuy, cúc
buy v.   AAA/bai /   BBB mua
buyer n.   AAA/´baiə /   BBB người mua
by prep., adv.   AAA/bai /   BBB bởi, bằng
cabinet n.   AAA/'kæbinit /   BBB tủ có nhiều ngăn đựng đồ
cable n.   AAA/'keibl /   BBB dây cáp
cake n.   AAA/keik /   BBB bánh ngọt
calculate v.   AAA/'kælkjuleit /   BBB tính toán
calculation n.   AAA/,kælkju'lei∫n /   BBB sự tính toán
call v., n.   AAA/kɔ:l /   BBB gọi; tiếng kêu, tiếng gọi
calm adj., v., n.   AAA/kɑ:m /   BBB yên lặng, làm dịu đi; sự yên lặng, sự êm ả
calmly adv.   AAA/kɑ:mli /   BBB yên lặng, êm ả; bình tĩnh, điềm tĩnh
camera n.   AAA/kæmərə /   BBB máy ảnh
